,run,na_ratio,tool,mae_cont,mae_cat,mae_joint,acc_cat,mre_cont,dim,bins,discretization
0,4.0,0.25,KNN,16.708161937560426,-1,-1,0.8622649759510276,121554408452395.52,-1,-1,
1,4.0,0.25,AutoComplete,16.832043128801217,-1,-1,0.8867512024486226,139746914497717.02,-1,-1,
2,4.0,0.25,MissForest,13.341200791889747,-1,-1,0.8670747704416266,44611569190274.11,-1,-1,
3,4.0,0.25,POME,15.745234703860211,-1,-1,0.8889374726716223,53670057320949.08,16,7,z
4,4.0,0.25,POME,15.666659136594449,-1,-1,0.8815041539134237,52790752620377.234,32,7,z
5,4.0,0.25,POME,16.169658501306618,-1,-1,0.8841276781810232,52084091432645.62,64,7,z
6,5.0,0.5,KNN,18.35585468288298,-1,-1,0.8668005354752343,112242809255266.45,-1,-1,
7,5.0,0.5,AutoComplete,17.201362322832086,-1,-1,0.8817492190986167,140833605632710.5,-1,-1,
8,5.0,0.5,MissForest,14.495697471772575,-1,-1,0.8710397144132084,45891450096117.01,-1,-1,
9,5.0,0.5,POME,17.070955721430927,-1,-1,0.8806336456938867,56123001814354.98,16,7,z
10,5.0,0.5,POME,17.4545608833629,-1,-1,0.8763944667559126,60673081501895.41,32,7,z
11,5.0,0.5,POME,17.203119377734858,-1,-1,0.8763944667559126,58875858341650.54,64,7,z
12,5.0,0.05,KNN,16.676375943972662,-1,-1,0.8744186046511628,97329010229583.7,-1,-1,
13,5.0,0.05,AutoComplete,17.516399850311497,-1,-1,0.8860465116279069,103780698860892.05,-1,-1,
14,5.0,0.05,MissForest,13.612831471500986,-1,-1,0.8744186046511628,32311544249899.207,-1,-1,
15,5.0,0.05,POME,16.217719054191626,-1,-1,0.8744186046511628,51219712797870.25,16,7,z
16,5.0,0.05,POME,16.02125191716478,-1,-1,0.8837209302325582,40165016006724.914,32,7,z
17,5.0,0.05,POME,16.361578247908735,-1,-1,0.8883720930232558,38827485654148.04,64,7,z
18,2.0,0.1,KNN,17.308047908282294,-1,-1,0.8558758314855875,123186979167239.83,-1,-1,
19,2.0,0.1,AutoComplete,17.55672042606671,-1,-1,0.8824833702882483,159212538350971.44,-1,-1,
20,2.0,0.1,MissForest,13.471309230203312,-1,-1,0.8603104212860311,44749506009850.37,-1,-1,
21,2.0,0.1,POME,17.12825433120668,-1,-1,0.8725055432372506,58349344862838.98,16,7,z
22,2.0,0.1,POME,16.742929177395027,-1,-1,0.8603104212860311,67224847986227.72,32,7,z
23,2.0,0.1,POME,16.36799393892375,-1,-1,0.8791574279379157,60433140291392.83,64,7,z
24,5.0,0.01,KNN,12.801296445384214,-1,-1,0.8666666666666667,99518870897301.42,-1,-1,
25,5.0,0.01,AutoComplete,14.746122524322407,-1,-1,0.8666666666666667,145231877688512.9,-1,-1,
